player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Thon Maker,makerth01,2020,1593,776,-1.997203661,-0.26345859,-2.260662252,-3.571801592,-2.342947528,-5.91474912,-2.423042025,-0.625052338,-3.048094363,-0.118005031,-0.118005031,0,-2.575305052,-0.430207537,-3.005512589,-0.013011336
Terance Mann,mannte01,2020,604,271,-3.022863255,1.008541469,-2.014321786,-3.167087277,2.928093374,-0.238993903,-3.289123636,1.404381922,-1.884741714,0.119019728,0.119019728,0,-4.283724117,0.78879579,-3.494928327,-0.523796256
Boban Marjanovic,marjabo01,2020,712,337,3.304502647,0.413415431,3.717918078,6.030146242,-1.827739228,4.202407013,3.920989117,-0.052740132,3.868248985,1.139461052,1.139461052,0,3.596456869,-0.840772291,2.755684578,0.137692763
Lauri Markkanen,markkla01,2020,3162,1492,-0.737209009,-2.868734006,-3.605943014,-1.799120143,1.087974258,-0.711145886,-0.94686086,-2.230160172,-3.177021032,-0.32685507,-0.32685507,0,-0.852946612,-1.338983168,-2.19192978,0.564298577
Caleb Martin,martica02,2020,633,317,-1.439920623,4.28065931,2.840738687,-3.361391686,5.42234412,2.060952434,-1.886012935,4.847968621,2.961955685,0.922226919,0.922226919,0,-2.115560297,3.300389597,1.1848293,-0.175187095
Cody Martin,martico01,2020,1858,903,-2.017754687,4.143764809,2.126010122,-0.487723608,3.024916578,2.53719297,-1.794352512,4.233849424,2.439496912,2.38923022,2.38923022,0,-1.930887489,3.200238285,1.269350796,-0.069351389
Jeremiah Martin,martije02,2020,34,16,-9.227961167,5.727376985,-3.500584182,2.776842526,2.777459662,5.554302187,-7.391035789,5.350637713,-2.040398076,0.005638281,0.005638281,0,-5.185007186,2.359168121,-2.825839065,-2.717012664
Kelan Martin,martike03,2020,1098,495,-3.958530829,-2.248593238,-6.207124067,-4.742257243,5.822637974,1.080380732,-4.339184515,-0.6798788,-5.019063315,-0.573942286,-0.573942286,0,-4.718528735,-1.706133291,-6.424662026,0.158838373
Frank Mason,masonfr01,2020,116,53,-3.778603132,3.141973709,-0.636629423,-9.193811064,6.564188534,-2.62962253,-5.200468706,3.950436773,-1.250031933,0.040781523,0.040781523,0,-4.376824171,0.04229885,-4.334525321,0.556842109
Garrison Mathews,mathega01,2020,491,227,2.191616013,1.768115227,3.95973124,1.187458037,4.585509073,5.772967111,2.097615159,2.536952772,4.634567931,0.861600352,0.861600352,0,2.037886063,1.170653568,3.208539632,0.75755928
Wesley Matthews,matthwe02,2020,3417,1529,-2.026623595,2.507268824,0.480645229,-1.347235955,4.895578068,3.548342113,-2.027481728,3.07166084,1.044179112,2.977811774,2.977811774,0,-2.20038429,2.377780171,0.177395881,0.619747893
Patrick McCaw,mccawpa01,2020,1926,908,-3.339589258,-0.674533194,-4.014122452,-3.905434378,0.078301928,-3.82713245,-3.67820485,-0.598053015,-4.276257865,-0.702156861,-0.702156861,0,-3.98410153,-0.393543603,-4.377645133,-0.706655738
CJ McCollum,mccolcj01,2020,4712,2229,2.280367026,-1.502696719,0.777670307,4.025675588,-0.051296616,3.974378972,2.732353934,-1.251518101,1.480835832,4.781352887,4.781352887,0,3.095377533,-1.044270666,2.051106867,-0.638038693
T.J. McConnell,mccontj01,2020,2528,1188,0.259797701,-2.04370893,-1.783911229,1.842036477,-1.208722804,0.633313673,0.612873702,-2.008955003,-1.396081301,0.813729838,0.813729838,0,-0.358705758,-2.192105201,-2.550810959,-0.857911243
Jalen McDaniels,mcdanja01,2020,586,293,-0.749249775,0.541085682,-0.208164093,-0.431571933,1.507371341,1.075799408,-0.706451882,0.832610841,0.126158959,0.428426976,0.428426976,0,-1.376259884,0.235663138,-1.140596745,-0.361924069
Doug McDermott,mcderdo01,2020,2636,1242,0.814697198,-2.153365015,-1.338667817,3.064096635,1.001924852,4.066021487,1.334235664,-1.642772351,-0.308536687,1.548558397,1.548558397,0,1.318534568,-2.412387176,-1.093852608,0.097567571
JaVale McGee,mcgeeja01,2020,2173,1023,-0.445669253,3.90613469,3.460465437,3.126512191,-1.038563344,2.087948847,0.240653471,3.014581853,3.255235325,3.136497296,3.136497296,0,0.130662634,3.859918709,3.990581343,0.070182347
Rodney McGruder,mcgruro01,2020,1665,749,-3.002245831,-1.292859854,-4.295105686,-2.75042509,-2.118119503,-4.868544593,-3.176264951,-1.589678382,-4.765943333,-0.768616727,-0.768616727,0,-3.577726362,-1.002102066,-4.579828428,-0.232366187
Alfonzo McKinnie,mckinal01,2020,1253,593,-3.569477162,-2.935065616,-6.504542778,-0.692648316,0.099081585,-0.593566731,-3.132155842,-2.420341981,-5.552497822,-0.846247039,-0.846247039,0,-2.649376317,-2.715692515,-5.365068832,-0.197808222
Jordan McLaughlin,mclaujo01,2020,1309,590,2.667917988,0.760520868,3.428438856,-1.131953818,-1.026866849,-2.158820667,2.058096472,0.456698182,2.514794654,1.580958214,1.580958214,0,1.208648567,0.572466408,1.781114975,-0.247065506
Ben McLemore,mclembe01,2020,3132,1437,1.037545158,-3.406886115,-2.369340958,6.70966153,-2.329162683,4.380498847,2.223340089,-3.397249878,-1.173909789,1.156612571,1.156612571,0,2.100302854,-2.982359796,-0.882056941,0.096223144
